AttributeName;AttributeType
NoID;ID
A0;string
A1;double
A2;string
A3;double
A4;string
A5;double
A6;string
A7;double
A8;string
A9;double
Disease;string

NoID;A0;A1;A2;A3;A4;A5;A6;A7;A8;A9;Disease
396;danger;9;red;7;true;10;false;1234;hot;20.7;Maladie395
397;cold;0.55;blue;0.55;medium;1234;red;9;cold;45.5;Maladie396
398;safe;9;hot;45.5;none;20.7;blue;45.5;blue;10;Maladie397
399;blue;10;red;0.55;safe;9;none;23445;red;11;Maladie398
400;red;1234;red;23445;false;45.5;medium;9;blue;23445;Maladie399
401;none;0.55;true;11;hot;1234;danger;10;false;23;Maladie400
402;false;0.55;medium;10;none;11;safe;1234;danger;20.7;Maladie401
403;hot;0.55;true;9;none;1234;red;10;none;9;Maladie402
404;red;1234;hot;45.5;blue;20.7;hot;9;safe;0.55;Maladie403
405;cold;20.7;danger;45.5;true;7;red;11;safe;45.5;Maladie404
406;blue;7;safe;23445;true;20.7;safe;7;cold;7;Maladie405
407;safe;23445;hot;20.7;danger;23;hot;23;none;10;Maladie406
408;cold;9;true;0.55;true;10;danger;45.5;danger;23445;Maladie407
409;red;0.55;safe;23445;false;10;true;11;red;10;Maladie408
410;none;7;danger;7;hot;1234;false;11;blue;20.7;Maladie409
411;true;45.5;red;45.5;red;23;blue;10;danger;0.55;Maladie410
412;red;11;blue;9;none;10;medium;1234;hot;20.7;Maladie411
413;danger;7;blue;11;hot;10;medium;1234;hot;20.7;Maladie412
414;false;11;danger;10;false;11;blue;20.7;danger;1234;Maladie413
415;danger;11;medium;1234;medium;0.55;red;11;blue;11;Maladie414
416;medium;10;true;23445;safe;23445;blue;0.55;danger;10;Maladie415
417;hot;20.7;danger;23;medium;1234;medium;10;safe;20.7;Maladie416
418;danger;11;none;0.55;true;1234;none;20.7;danger;0.55;Maladie417
419;safe;10;red;7;hot;11;medium;20.7;safe;10;Maladie418
420;red;7;none;10;cold;23445;true;7;none;9;Maladie419
421;none;1234;blue;9;blue;23445;hot;9;true;11;Maladie420
422;false;45.5;hot;7;blue;23;blue;0.55;medium;10;Maladie421
423;danger;23445;hot;0.55;red;9;cold;11;true;23;Maladie422
424;true;45.5;true;10;blue;7;none;1234;hot;20.7;Maladie423
425;hot;7;hot;20.7;blue;0.55;medium;9;blue;23445;Maladie424
426;cold;10;false;11;none;45.5;medium;20.7;blue;45.5;Maladie425
427;blue;9;medium;11;hot;9;medium;45.5;true;1234;Maladie426
428;true;7;true;23;cold;0.55;none;11;hot;45.5;Maladie427
429;none;20.7;blue;20.7;true;1234;red;45.5;medium;20.7;Maladie428
430;safe;45.5;safe;11;danger;1234;blue;10;blue;23445;Maladie429
431;cold;20.7;none;10;false;45.5;hot;45.5;safe;23;Maladie430
432;hot;23;false;23;blue;23;medium;10;red;23;Maladie431
433;medium;23;safe;0.55;hot;10;danger;1234;none;11;Maladie432
434;danger;0.55;none;7;blue;10;hot;7;blue;23;Maladie433
435;hot;9;danger;7;danger;45.5;none;45.5;safe;45.5;Maladie434
436;cold;0.55;safe;0.55;hot;23445;hot;23445;none;10;Maladie435
437;red;11;hot;10;red;9;red;0.55;danger;10;Maladie436
438;safe;20.7;safe;20.7;cold;1234;red;45.5;safe;9;Maladie437
439;safe;10;true;20.7;red;10;none;23;danger;9;Maladie438
440;medium;0.55;danger;23445;safe;23;hot;10;safe;23;Maladie439
441;true;45.5;cold;1234;cold;20.7;danger;1234;true;20.7;Maladie440
442;none;10;none;7;red;9;medium;11;red;45.5;Maladie441
443;none;23445;false;23445;medium;10;true;0.55;none;9;Maladie442
444;false;45.5;cold;20.7;true;1234;none;45.5;false;0.55;Maladie443
445;red;7;blue;9;red;20.7;blue;10;none;10;Maladie444
446;hot;9;medium;7;true;23445;safe;9;danger;11;Maladie445
447;safe;10;false;23445;none;11;red;23;blue;23445;Maladie446
448;safe;0.55;cold;9;false;1234;danger;23;red;1234;Maladie447
449;medium;10;safe;20.7;hot;10;hot;0.55;true;20.7;Maladie448
450;cold;45.5;none;7;hot;0.55;blue;23;true;23;Maladie449
451;red;9;cold;45.5;none;23445;red;11;danger;23445;Maladie450
452;none;11;false;9;false;7;true;0.55;true;45.5;Maladie451
453;hot;20.7;false;11;hot;45.5;false;23445;true;20.7;Maladie452
454;false;20.7;red;11;false;1234;false;23;medium;1234;Maladie453
455;cold;0.55;safe;20.7;none;9;danger;11;blue;11;Maladie454
456;none;0.55;none;23;false;0.55;cold;23445;true;0.55;Maladie455
457;true;10;medium;9;red;20.7;blue;23445;false;10;Maladie456
458;danger;11;medium;9;medium;23;hot;23445;true;45.5;Maladie457
459;true;45.5;medium;0.55;none;45.5;hot;11;true;9;Maladie458
460;medium;7;safe;23445;danger;20.7;true;23445;false;1234;Maladie459
461;red;20.7;danger;10;safe;11;danger;9;hot;23;Maladie460
462;danger;9;cold;7;red;23;red;23445;false;9;Maladie461
463;none;9;danger;23445;false;11;true;23;safe;10;Maladie462
464;hot;11;false;1234;none;11;red;0.55;false;1234;Maladie463
465;medium;1234;false;45.5;cold;45.5;blue;23;false;23445;Maladie464
466;red;45.5;safe;45.5;danger;7;hot;23445;red;23;Maladie465
467;red;0.55;hot;23;red;1234;danger;11;blue;20.7;Maladie466
468;false;9;none;1234;medium;20.7;blue;23;medium;9;Maladie467
469;red;20.7;blue;20.7;hot;9;safe;9;blue;45.5;Maladie468
470;safe;9;false;1234;false;45.5;none;20.7;safe;7;Maladie469
471;hot;23;hot;0.55;cold;20.7;danger;10;red;23445;Maladie470
472;true;9;blue;45.5;blue;9;blue;20.7;safe;20.7;Maladie471
473;danger;20.7;true;23;false;11;true;10;none;11;Maladie472
474;hot;10;blue;20.7;true;23;medium;0.55;cold;23445;Maladie473
475;medium;23;true;23445;danger;20.7;medium;0.55;medium;1234;Maladie474
476;medium;20.7;danger;7;red;7;safe;45.5;blue;20.7;Maladie475
477;none;9;red;11;medium;23445;red;0.55;blue;0.55;Maladie476
478;safe;23;true;11;red;7;false;7;false;10;Maladie477
479;medium;11;true;23;medium;10;none;7;blue;45.5;Maladie478
480;none;9;false;1234;medium;20.7;danger;20.7;red;11;Maladie479
481;none;9;none;45.5;cold;23;medium;23445;danger;10;Maladie480
482;red;20.7;cold;45.5;blue;7;red;1234;danger;0.55;Maladie481
483;safe;23445;hot;45.5;true;20.7;none;45.5;safe;23;Maladie482
484;true;23;true;23;true;11;cold;45.5;false;0.55;Maladie483
485;danger;11;danger;11;cold;45.5;medium;45.5;false;11;Maladie484
486;false;23;none;45.5;red;20.7;safe;9;medium;1234;Maladie485
487;none;11;safe;20.7;hot;23;true;20.7;safe;20.7;Maladie486
488;blue;7;danger;23;cold;20.7;true;9;blue;9;Maladie487
489;cold;7;cold;9;hot;23445;cold;10;danger;1234;Maladie488
490;red;0.55;blue;45.5;cold;9;safe;11;true;0.55;Maladie489
491;false;11;hot;9;red;23445;hot;11;false;1234;Maladie490
492;none;45.5;danger;1234;danger;7;medium;0.55;red;45.5;Maladie491
493;none;7;hot;1234;false;0.55;cold;10;red;1234;Maladie492
494;none;45.5;red;9;blue;0.55;danger;7;false;0.55;Maladie493
495;hot;0.55;hot;23445;cold;0.55;false;0.55;false;0.55;Maladie494
496;safe;45.5;red;23;true;7;blue;0.55;red;1234;Maladie495
497;none;23445;safe;45.5;danger;23445;false;23445;danger;1234;Maladie496
498;hot;10;none;23;cold;45.5;hot;7;false;11;Maladie497
499;safe;0.55;medium;45.5;hot;10;true;45.5;danger;45.5;Maladie498
500;danger;9;safe;20.7;cold;9;false;11;medium;1234;Maladie499
501;hot;23445;hot;45.5;red;7;safe;9;none;23445;Maladie500
502;blue;7;hot;11;none;45.5;true;20.7;false;0.55;Maladie501
503;cold;7;blue;9;false;23445;danger;23445;red;23445;Maladie502
504;none;9;cold;1234;blue;0.55;blue;9;false;0.55;Maladie503
505;blue;0.55;red;23;blue;7;true;20.7;safe;1234;Maladie504
506;none;0.55;false;23445;cold;0.55;medium;10;medium;20.7;Maladie505
507;none;45.5;medium;23;none;11;medium;11;hot;9;Maladie506
508;none;7;true;45.5;true;10;safe;20.7;medium;0.55;Maladie507
509;danger;23;medium;1234;none;45.5;none;11;medium;20.7;Maladie508
510;false;11;danger;23445;true;0.55;true;20.7;cold;20.7;Maladie509
511;medium;0.55;medium;10;blue;1234;true;23445;false;10;Maladie510
512;danger;23;blue;1234;cold;7;false;11;safe;1234;Maladie511
513;true;10;blue;23;red;11;blue;7;danger;7;Maladie512
514;danger;20.7;medium;23;safe;45.5;cold;11;true;1234;Maladie513
515;cold;45.5;blue;11;red;10;cold;7;none;10;Maladie514
516;none;7;medium;7;danger;23;none;20.7;red;1234;Maladie515
517;hot;0.55;safe;23;red;20.7;danger;20.7;safe;1234;Maladie516
518;medium;23445;true;11;none;45.5;false;11;blue;23;Maladie517
519;hot;45.5;safe;0.55;hot;7;medium;20.7;cold;11;Maladie518
520;cold;1234;none;23445;none;7;cold;23;false;11;Maladie519
521;false;1234;cold;0.55;cold;45.5;red;0.55;blue;10;Maladie520
522;red;9;false;20.7;danger;0.55;safe;23;false;20.7;Maladie521
523;red;23;blue;10;red;23;medium;1234;danger;45.5;Maladie522
524;safe;1234;none;0.55;danger;23;true;0.55;cold;20.7;Maladie523
525;false;10;false;45.5;none;1234;cold;0.55;false;1234;Maladie524
526;cold;45.5;false;0.55;blue;10;hot;23;cold;23445;Maladie525
527;red;11;false;1234;safe;1234;red;10;safe;45.5;Maladie526
528;blue;23;none;20.7;true;1234;false;10;true;45.5;Maladie527
529;blue;45.5;hot;10;cold;1234;none;1234;true;45.5;Maladie528
530;none;20.7;hot;23445;true;9;blue;11;blue;7;Maladie529
531;cold;9;danger;10;hot;23;red;23;true;45.5;Maladie530
532;danger;10;safe;0.55;false;1234;blue;10;safe;45.5;Maladie531
533;danger;20.7;medium;7;hot;0.55;cold;20.7;hot;0.55;Maladie532
534;red;20.7;safe;23;hot;7;hot;0.55;safe;23445;Maladie533
535;none;23;danger;20.7;blue;11;false;23445;red;23;Maladie534
536;cold;1234;hot;7;red;10;safe;11;medium;20.7;Maladie535
537;cold;10;true;45.5;blue;11;danger;23445;red;1234;Maladie536
538;hot;0.55;safe;45.5;hot;45.5;safe;23;danger;20.7;Maladie537
539;false;0.55;hot;23445;danger;7;red;9;red;23445;Maladie538
540;cold;20.7;cold;7;cold;10;danger;23;safe;45.5;Maladie539
541;cold;10;none;23;safe;0.55;blue;9;red;23;Maladie540
542;none;45.5;false;10;cold;23445;red;1234;medium;45.5;Maladie541
543;safe;11;cold;7;red;23;hot;20.7;none;23;Maladie542
544;medium;20.7;cold;7;false;0.55;cold;23445;false;9;Maladie543
545;true;23;none;7;true;1234;blue;10;danger;23445;Maladie544
546;danger;11;safe;0.55;safe;11;blue;7;false;23445;Maladie545
547;cold;0.55;false;45.5;medium;9;hot;23445;red;0.55;Maladie546
548;danger;0.55;safe;23445;danger;23;red;9;medium;7;Maladie547
549;cold;1234;hot;0.55;none;23445;red;45.5;blue;9;Maladie548
550;danger;11;hot;9;false;23445;true;9;medium;7;Maladie549
551;red;45.5;true;0.55;medium;0.55;red;45.5;false;9;Maladie550
552;false;20.7;hot;23;false;23;hot;23445;hot;20.7;Maladie551
553;none;11;red;20.7;blue;20.7;false;0.55;red;23445;Maladie552
554;blue;23445;medium;45.5;danger;9;false;20.7;none;7;Maladie553
555;red;23445;safe;20.7;hot;23445;true;0.55;none;0.55;Maladie554
556;red;7;blue;23445;hot;10;red;9;cold;9;Maladie555
557;danger;11;red;0.55;none;23445;danger;20.7;none;1234;Maladie556
558;true;11;false;10;true;1234;false;1234;true;11;Maladie557
559;red;23;true;23445;red;45.5;safe;1234;cold;11;Maladie558
560;medium;0.55;cold;23445;blue;23445;medium;10;true;23445;Maladie559
561;danger;0.55;medium;0.55;false;23;red;7;cold;11;Maladie560
562;cold;7;hot;23445;danger;23;blue;7;none;1234;Maladie561
563;true;11;safe;45.5;blue;0.55;hot;45.5;false;10;Maladie562
564;false;20.7;false;9;blue;9;blue;9;danger;0.55;Maladie563
565;blue;45.5;cold;23;danger;11;safe;10;true;23;Maladie564
566;false;45.5;red;10;medium;11;hot;1234;cold;11;Maladie565
567;blue;10;hot;45.5;medium;45.5;safe;45.5;danger;9;Maladie566
568;safe;1234;none;10;none;9;none;10;danger;45.5;Maladie567
569;false;23445;none;1234;false;0.55;medium;23445;false;1234;Maladie568
570;cold;20.7;true;20.7;false;9;none;11;hot;23;Maladie569
571;none;7;red;9;cold;0.55;hot;1234;safe;9;Maladie570
572;blue;23445;safe;45.5;true;0.55;red;0.55;blue;10;Maladie571
573;blue;7;none;45.5;cold;23445;red;0.55;cold;20.7;Maladie572
574;blue;10;medium;10;red;1234;hot;0.55;medium;9;Maladie573
575;blue;23445;none;9;false;23;false;20.7;none;9;Maladie574
576;medium;0.55;none;20.7;danger;11;false;20.7;red;23;Maladie575
577;true;20.7;red;45.5;safe;45.5;none;23445;hot;7;Maladie576
578;hot;9;blue;20.7;danger;10;cold;10;true;9;Maladie577
579;none;1234;medium;9;medium;1234;medium;23445;red;10;Maladie578
580;cold;0.55;medium;1234;red;20.7;red;45.5;blue;1234;Maladie579
581;false;11;none;11;safe;45.5;medium;45.5;safe;10;Maladie580
582;medium;23445;hot;45.5;safe;20.7;danger;7;true;9;Maladie581
583;danger;11;danger;9;hot;9;cold;0.55;danger;20.7;Maladie582
584;red;0.55;true;9;false;10;none;1234;red;23;Maladie583
585;hot;10;safe;7;red;11;blue;10;none;0.55;Maladie584
586;safe;7;hot;9;red;23445;blue;10;danger;10;Maladie585
587;danger;23445;medium;0.55;none;11;false;7;blue;10;Maladie586
588;cold;9;red;23;blue;0.55;safe;7;safe;1234;Maladie587
589;red;11;safe;7;false;23445;danger;23;medium;10;Maladie588
590;true;23;medium;45.5;medium;1234;danger;10;blue;45.5;Maladie589
591;danger;23;true;10;true;0.55;medium;23445;medium;20.7;Maladie590
592;cold;7;false;45.5;true;1234;none;45.5;danger;20.7;Maladie591
593;red;23;true;20.7;blue;1234;red;23;hot;20.7;Maladie592
594;medium;23;none;7;none;9;red;1234;false;23445;Maladie593
595;blue;7;red;10;blue;9;safe;7;danger;10;Maladie594
596;true;45.5;medium;23445;cold;1234;danger;45.5;danger;23;Maladie595
597;medium;23;true;20.7;true;10;medium;45.5;none;7;Maladie596
598;hot;7;none;7;medium;11;false;23445;true;11;Maladie597
599;blue;0.55;medium;45.5;false;20.7;false;0.55;none;45.5;Maladie598
600;danger;45.5;true;20.7;blue;11;true;45.5;false;23;Maladie599
601;hot;10;true;0.55;cold;45.5;medium;10;hot;0.55;Maladie600
602;none;20.7;red;9;hot;23445;danger;45.5;cold;10;Maladie601
603;danger;10;none;1234;medium;0.55;cold;9;red;11;Maladie602
604;none;1234;blue;11;none;9;medium;20.7;false;45.5;Maladie603
605;cold;1234;blue;20.7;cold;0.55;red;20.7;false;0.55;Maladie604
606;hot;7;danger;45.5;blue;9;false;9;true;20.7;Maladie605
607;cold;11;red;11;cold;9;medium;10;hot;7;Maladie606
608;true;7;danger;1234;danger;10;medium;0.55;blue;1234;Maladie607
609;blue;23;blue;23;danger;23445;cold;11;red;1234;Maladie608
610;false;11;red;11;cold;20.7;medium;7;none;23;Maladie609
611;false;23;blue;10;safe;23;safe;1234;hot;7;Maladie610
612;hot;11;medium;45.5;false;20.7;safe;23;red;23445;Maladie611
613;hot;45.5;false;7;red;23445;cold;23445;cold;9;Maladie612
614;none;1234;false;0.55;danger;9;false;20.7;medium;10;Maladie613
615;medium;23445;false;0.55;medium;20.7;medium;20.7;blue;7;Maladie614
616;false;11;true;45.5;true;45.5;safe;23;medium;9;Maladie615
617;hot;23;safe;9;red;1234;blue;45.5;hot;10;Maladie616
618;danger;7;false;11;safe;10;danger;23;danger;11;Maladie617
619;hot;1234;medium;1234;medium;11;cold;10;safe;7;Maladie618
620;none;1234;safe;45.5;red;10;blue;11;cold;23445;Maladie619
621;true;11;blue;9;safe;9;true;7;blue;45.5;Maladie620
622;true;11;hot;45.5;true;23445;blue;7;false;1234;Maladie621
623;medium;23445;none;10;blue;1234;hot;23445;safe;45.5;Maladie622
624;blue;9;red;1234;medium;9;medium;11;medium;0.55;Maladie623
625;none;7;cold;1234;danger;1234;cold;0.55;hot;1234;Maladie624
626;none;23445;none;20.7;none;23;hot;1234;danger;10;Maladie625
627;danger;7;false;0.55;danger;7;hot;23445;none;1234;Maladie626
628;none;0.55;false;0.55;safe;45.5;medium;23;cold;23;Maladie627
629;blue;0.55;none;11;medium;23445;cold;11;true;10;Maladie628
630;hot;45.5;false;10;medium;0.55;red;0.55;medium;0.55;Maladie629
631;hot;0.55;red;10;blue;20.7;medium;10;hot;23;Maladie630
632;true;45.5;hot;0.55;none;7;red;20.7;safe;7;Maladie631
633;false;23;safe;9;safe;23;hot;45.5;blue;20.7;Maladie632
634;medium;20.7;none;10;medium;0.55;red;11;none;23445;Maladie633
635;red;20.7;hot;20.7;safe;11;blue;9;true;7;Maladie634
636;true;7;red;23445;true;7;false;11;true;10;Maladie635
637;true;1234;hot;9;cold;23;danger;23;red;7;Maladie636
638;false;23445;safe;10;none;20.7;blue;23;red;9;Maladie637
639;danger;9;false;1234;hot;1234;safe;7;medium;11;Maladie638
640;false;23;danger;10;medium;10;blue;9;blue;7;Maladie639
641;cold;23;blue;20.7;danger;20.7;cold;10;blue;23445;Maladie640
642;red;45.5;danger;1234;cold;7;cold;0.55;medium;9;Maladie641
643;blue;23445;none;23;true;7;medium;11;medium;23;Maladie642
644;safe;23445;safe;0.55;cold;1234;true;23445;blue;23;Maladie643
645;safe;20.7;blue;11;safe;11;danger;11;danger;23;Maladie644
646;none;11;none;23;medium;11;blue;1234;danger;20.7;Maladie645
647;danger;23445;blue;20.7;cold;1234;safe;23445;safe;11;Maladie646
648;false;1234;none;11;cold;0.55;danger;9;true;45.5;Maladie647
649;red;7;true;10;red;7;danger;11;none;9;Maladie648
650;cold;1234;true;7;false;0.55;none;10;danger;20.7;Maladie649
651;danger;7;false;7;red;23445;false;23445;danger;11;Maladie650
652;cold;23445;cold;1234;red;1234;hot;11;red;23;Maladie651
653;safe;11;medium;23;false;7;false;10;safe;20.7;Maladie652
654;safe;45.5;medium;45.5;hot;23;true;0.55;true;1234;Maladie653
655;hot;11;cold;0.55;medium;9;none;0.55;hot;20.7;Maladie654
656;false;9;danger;0.55;medium;0.55;cold;10;medium;20.7;Maladie655
657;none;0.55;red;20.7;true;0.55;false;10;cold;45.5;Maladie656
658;hot;20.7;red;23;true;1234;cold;10;red;45.5;Maladie657
659;safe;20.7;danger;23445;danger;20.7;safe;23;true;23445;Maladie658
660;danger;23445;false;45.5;hot;10;blue;20.7;none;20.7;Maladie659
661;blue;20.7;hot;7;true;7;hot;45.5;hot;23;Maladie660
662;true;10;false;9;true;1234;true;11;cold;11;Maladie661
663;cold;1234;safe;9;red;10;blue;23445;blue;10;Maladie662
664;true;23445;none;11;none;20.7;none;1234;safe;10;Maladie663
665;false;10;true;0.55;medium;23445;none;23445;false;1234;Maladie664
666;red;1234;danger;0.55;medium;11;false;7;danger;10;Maladie665
667;red;0.55;safe;0.55;blue;11;blue;10;blue;0.55;Maladie666
668;false;23;false;11;danger;1234;none;45.5;hot;1234;Maladie667
669;cold;1234;danger;23445;hot;23445;none;10;blue;23445;Maladie668
670;safe;9;none;7;medium;20.7;red;45.5;false;0.55;Maladie669
671;hot;20.7;red;9;true;1234;true;0.55;safe;0.55;Maladie670
672;true;45.5;medium;45.5;medium;45.5;safe;10;danger;11;Maladie671
673;none;45.5;blue;0.55;danger;20.7;hot;1234;medium;23445;Maladie672
674;danger;11;red;1234;blue;1234;medium;7;true;1234;Maladie673
675;none;1234;hot;11;hot;10;true;7;cold;11;Maladie674
676;hot;10;none;1234;cold;9;red;20.7;blue;1234;Maladie675
677;none;9;none;7;cold;10;safe;10;blue;11;Maladie676
678;danger;7;false;9;blue;11;blue;23;none;23445;Maladie677
679;none;1234;hot;9;medium;7;none;0.55;medium;23445;Maladie678
680;blue;45.5;none;0.55;danger;1234;red;20.7;danger;20.7;Maladie679
681;cold;23;cold;1234;none;10;hot;0.55;none;1234;Maladie680
682;none;23;red;0.55;hot;1234;true;23445;red;23;Maladie681
683;true;11;red;23;false;7;safe;23445;false;1234;Maladie682
684;red;11;red;7;none;11;true;1234;none;7;Maladie683
685;red;45.5;none;7;safe;0.55;false;11;true;10;Maladie684
686;red;11;red;0.55;medium;0.55;none;0.55;danger;9;Maladie685
687;none;23445;red;45.5;medium;9;hot;11;cold;20.7;Maladie686
688;danger;7;blue;7;medium;7;safe;1234;medium;9;Maladie687
689;red;20.7;true;10;none;7;safe;23;cold;1234;Maladie688
690;cold;20.7;true;9;false;10;blue;23445;red;23445;Maladie689
691;cold;10;hot;1234;hot;9;true;45.5;true;0.55;Maladie690
692;none;0.55;danger;20.7;blue;10;cold;7;none;9;Maladie691
693;danger;20.7;true;1234;none;0.55;none;1234;false;9;Maladie692
694;cold;45.5;danger;23445;red;23;medium;7;hot;7;Maladie693
695;red;9;hot;11;danger;0.55;hot;20.7;cold;20.7;Maladie694
696;cold;0.55;danger;7;hot;1234;true;23;true;0.55;Maladie695
697;true;45.5;medium;7;true;10;red;7;danger;11;Maladie696
698;red;20.7;hot;0.55;true;45.5;true;9;red;23445;Maladie697
699;safe;23445;red;45.5;safe;0.55;hot;45.5;none;23;Maladie698
700;none;20.7;true;0.55;cold;20.7;red;7;true;9;Maladie699
701;hot;23445;safe;20.7;red;20.7;true;1234;safe;10;Maladie700
702;safe;7;true;23;none;9;medium;10;safe;10;Maladie701
703;blue;7;false;1234;safe;23445;none;7;safe;1234;Maladie702
704;blue;1234;red;23;hot;20.7;cold;23;false;20.7;Maladie703
705;true;1234;false;45.5;red;9;hot;11;red;9;Maladie704
706;false;0.55;danger;20.7;danger;9;red;45.5;true;9;Maladie705
707;true;23445;false;11;cold;10;red;23;blue;1234;Maladie706
708;blue;9;hot;0.55;red;1234;safe;10;false;7;Maladie707
709;blue;1234;blue;0.55;false;0.55;medium;45.5;true;23;Maladie708
710;medium;23445;medium;10;safe;0.55;false;20.7;false;20.7;Maladie709
711;danger;0.55;cold;11;safe;1234;medium;1234;medium;45.5;Maladie710
712;none;0.55;medium;9;cold;0.55;safe;1234;blue;7;Maladie711
713;false;20.7;danger;0.55;cold;23;blue;23;false;11;Maladie712
714;none;7;hot;23445;medium;23;safe;23445;safe;45.5;Maladie713
715;blue;1234;blue;23445;cold;9;none;0.55;none;23;Maladie714
716;false;23;safe;11;red;11;safe;0.55;blue;0.55;Maladie715
717;cold;11;danger;1234;blue;10;danger;7;blue;9;Maladie716
718;medium;0.55;none;23;blue;0.55;medium;11;safe;23;Maladie717
719;safe;0.55;true;7;hot;10;hot;10;cold;7;Maladie718
720;hot;7;danger;10;true;0.55;blue;23;medium;45.5;Maladie719
721;false;11;danger;10;safe;11;safe;9;none;45.5;Maladie720
722;hot;9;medium;45.5;cold;23445;blue;11;medium;23;Maladie721
723;danger;23445;red;23;danger;9;none;1234;none;20.7;Maladie722
724;danger;7;hot;23;true;7;cold;9;true;20.7;Maladie723
725;blue;23445;danger;23;danger;10;safe;9;false;7;Maladie724
726;safe;7;cold;10;danger;23;medium;1234;hot;11;Maladie725
727;danger;1234;safe;45.5;cold;7;hot;1234;none;23;Maladie726
728;cold;11;true;20.7;red;10;safe;9;true;0.55;Maladie727
729;blue;0.55;red;1234;true;0.55;false;7;true;0.55;Maladie728
730;true;20.7;danger;20.7;hot;7;red;11;red;10;Maladie729
731;none;1234;hot;23;cold;11;danger;7;true;10;Maladie730
732;red;1234;none;11;none;11;safe;45.5;danger;1234;Maladie731
733;danger;10;red;7;false;23;cold;0.55;red;20.7;Maladie732
734;hot;23;red;0.55;red;23;true;20.7;blue;9;Maladie733
735;none;1234;none;11;hot;0.55;medium;45.5;red;11;Maladie734
736;hot;23445;red;23445;medium;0.55;cold;23445;none;0.55;Maladie735
737;red;11;cold;23;hot;10;none;10;false;1234;Maladie736
738;false;11;false;11;true;7;blue;23;medium;1234;Maladie737
739;cold;23;blue;9;safe;7;medium;23445;true;10;Maladie738
740;cold;23445;red;20.7;safe;23445;danger;9;blue;23445;Maladie739
741;danger;7;cold;0.55;danger;7;none;20.7;medium;23;Maladie740
742;danger;20.7;blue;23;safe;23445;blue;7;safe;0.55;Maladie741
743;blue;23;red;9;medium;1234;blue;0.55;red;7;Maladie742
744;blue;7;true;9;false;11;hot;45.5;blue;23;Maladie743
745;true;9;cold;23;hot;9;false;11;cold;0.55;Maladie744
746;blue;1234;hot;20.7;danger;23445;danger;11;safe;10;Maladie745
747;none;1234;safe;45.5;false;1234;none;1234;hot;10;Maladie746
748;medium;7;danger;20.7;cold;45.5;safe;0.55;medium;7;Maladie747
749;red;7;false;11;true;0.55;medium;9;safe;20.7;Maladie748
750;cold;9;true;1234;medium;11;red;10;cold;11;Maladie749
751;medium;23;true;23445;hot;45.5;red;45.5;false;7;Maladie750
752;true;9;safe;20.7;red;45.5;danger;23445;true;10;Maladie751
753;cold;0.55;hot;0.55;none;23445;true;9;none;23;Maladie752
754;red;11;hot;10;danger;0.55;medium;0.55;medium;23445;Maladie753
755;hot;10;safe;0.55;blue;45.5;cold;23445;danger;7;Maladie754
756;safe;1234;false;10;red;7;false;9;hot;10;Maladie755
757;safe;20.7;true;7;cold;1234;none;20.7;danger;1234;Maladie756
758;blue;9;hot;23;false;23445;red;0.55;safe;45.5;Maladie757
759;none;11;none;9;danger;11;hot;11;red;11;Maladie758
760;medium;0.55;red;9;cold;9;red;11;true;11;Maladie759
761;true;45.5;hot;9;cold;23445;true;20.7;cold;45.5;Maladie760
762;true;23445;medium;23445;red;10;blue;23445;true;1234;Maladie761
763;cold;10;hot;11;hot;9;medium;20.7;true;10;Maladie762
764;red;20.7;true;23445;red;23445;safe;11;medium;23;Maladie763
765;false;23445;none;0.55;safe;23;safe;23445;cold;23445;Maladie764
766;hot;11;false;23;false;1234;hot;1234;medium;0.55;Maladie765
767;safe;11;false;11;danger;0.55;false;23;hot;20.7;Maladie766
768;false;11;hot;0.55;true;7;medium;9;hot;23445;Maladie767
769;red;20.7;blue;1234;true;23;hot;20.7;danger;0.55;Maladie768
770;true;23445;red;0.55;none;0.55;true;0.55;blue;20.7;Maladie769
771;none;7;blue;45.5;true;1234;false;23;red;23445;Maladie770
772;red;0.55;none;45.5;none;23;hot;9;red;11;Maladie771
773;medium;9;true;0.55;blue;45.5;none;0.55;false;7;Maladie772
774;safe;20.7;safe;0.55;blue;10;cold;7;blue;7;Maladie773
775;red;10;safe;20.7;none;45.5;medium;45.5;safe;1234;Maladie774
776;safe;23;blue;20.7;none;45.5;danger;45.5;safe;23445;Maladie775
777;blue;10;false;9;safe;10;blue;23445;safe;7;Maladie776
778;danger;7;medium;7;blue;0.55;safe;20.7;cold;20.7;Maladie777
779;medium;7;false;20.7;cold;7;cold;9;cold;7;Maladie778
780;medium;20.7;false;23445;safe;20.7;false;20.7;medium;11;Maladie779
781;none;11;false;11;medium;45.5;blue;23445;blue;7;Maladie780
782;blue;1234;none;0.55;none;23;red;9;cold;9;Maladie781
783;red;1234;red;10;medium;23445;danger;7;safe;0.55;Maladie782
784;hot;10;none;1234;cold;20.7;medium;23;false;10;Maladie783
785;red;45.5;safe;7;red;0.55;blue;23445;none;9;Maladie784
786;danger;45.5;medium;11;false;1234;true;9;true;1234;Maladie785
787;true;0.55;cold;7;false;45.5;true;0.55;false;1234;Maladie786
788;cold;11;danger;23;safe;9;hot;11;cold;23445;Maladie787
789;false;9;hot;1234;medium;23445;safe;23445;safe;23;Maladie788
790;cold;45.5;none;11;danger;23445;safe;1234;red;45.5;Maladie789
